Date,Open,High,Low,Close,Adj Close ,Volume
"Dec 23, 2024",436.74,437.65,432.83,435.25,434.38,19152500
"Dec 20, 2024",433.11,443.74,428.63,436.6,435.73,64263700
"Dec 19, 2024",441.62,443.18,436.32,437.03,436.16,22963700
"Dec 18, 2024",451.32,452.65,437.02,437.39,436.51,24444500
"Dec 17, 2024",451.01,455.29,449.57,454.46,453.55,22733500
"Dec 16, 2024",447.27,452.18,445.28,451.59,450.69,23598800
"Dec 13, 2024",448.44,451.43,445.58,447.27,446.37,20177800
"Dec 12, 2024",449.11,456.16,449.11,449.56,448.66,20834800
"Dec 11, 2024",444.05,450.35,444.05,448.99,448.09,19200200
"Dec 10, 2024",444.39,449.62,441.6,443.33,442.44,18469500
"Dec 9, 2024",442.6,448.33,440.5,446.02,445.13,19144400
"Dec 6, 2024",442.3,446.1,441.77,443.57,442.68,18821000
"Dec 5, 2024",437.92,444.66,436.17,442.62,441.73,21697800
"Dec 4, 2024",433.03,439.67,432.63,437.42,436.54,26009400
"Dec 3, 2024",429.84,432.47,427.74,431.2,430.34,18302000
"Dec 2, 2024",421.57,433,421.31,430.98,430.12,20207200
"Nov 29, 2024",420.09,424.88,417.8,423.46,422.61,16271900
"Nov 27, 2024",425.11,427.23,422.02,422.99,422.14,18332400
"Nov 26, 2024",419.59,429.04,418.85,427.99,427.13,23458900
"Nov 25, 2024",418.38,421.08,414.85,418.79,417.95,27691100
"Nov 22, 2024",411.37,417.4,411.06,417,416.17,24814600
"Nov 21, 2024",419.5,419.78,410.29,412.87,412.04,20780200
"Nov 20, 2024",416.87,417.29,410.58,415.49,413.83,19191700
"Nov 19, 2024",413.11,417.94,411.55,417.79,416.12,18133500
"Nov 18, 2024",414.87,418.4,412.1,415.76,414.1,24742000
"Nov 15, 2024",419.82,422.8,413.64,415,413.34,28247600
"Nov 14, 2024",425,428.17,420,426.89,425.18,30246900
"Nov 13, 2024",421.64,429.33,418.21,425.2,423.5,21502200
"Nov 12, 2024",418.25,424.44,417.2,423.03,421.34,19401200
"Nov 11, 2024",422.52,424.81,416,418.01,416.34,24503300
"Nov 8, 2024",425.32,426.5,421.78,422.54,420.85,16891400
"Nov 7, 2024",421.28,426.85,419.88,425.43,423.73,19901800
"Nov 6, 2024",412.42,420.45,410.52,420.18,418.5,26681800
"Nov 5, 2024",408.37,414.9,408.08,411.46,409.82,17626000
"Nov 4, 2024",409.8,410.42,405.57,408.46,406.83,19672300
"Nov 1, 2024",409.01,415.5,407.5,410.37,408.73,24230400
"Oct 31, 2024",415.36,416.16,406.3,406.35,404.73,53971000
"Oct 30, 2024",437.44,438.5,432.1,432.53,430.8,29749100
"Oct 29, 2024",428,433.17,425.8,431.95,430.22,17644100
"Oct 28, 2024",431.66,431.94,426.3,426.59,424.89,14882400
"Oct 25, 2024",426.76,432.52,426.57,428.15,426.44,16899100
"Oct 24, 2024",425.33,425.98,422.4,424.73,423.03,13581600
"Oct 23, 2024",430.86,431.08,422.53,424.6,422.9,19654400
"Oct 22, 2024",418.49,430.58,418.04,427.51,425.8,25482200
"Oct 21, 2024",416.12,418.96,413.75,418.78,417.11,14206100
"Oct 18, 2024",417.14,419.65,416.26,418.16,416.49,17145300
"Oct 17, 2024",422.36,422.5,415.59,416.72,415.06,14820000
